,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1970-06-16,2054.3701171875,2054.3701171875,2054.3701171875,2054.3701171875,2054.3701171875,0.0,^N225,1964.9968,2116.860107421875,-89.373291015625,0.0
1970-06-19,2113.219970703125,2113.219970703125,2113.219970703125,2113.219970703125,2113.219970703125,0.0,^N225,1960.8695,2102.219970703125,0.0,152.3504638671875
1970-07-06,2117.64990234375,2117.64990234375,2117.64990234375,2117.64990234375,2117.64990234375,0.0,^N225,2028.135,2130.050048828125,-89.514892578125,0.0
1970-07-13,2110.010009765625,2110.010009765625,2110.010009765625,2110.010009765625,2110.010009765625,0.0,^N225,2010.4293,2159.159912109375,-99.5806884765625,0.0
1970-07-31,2159.159912109375,2159.159912109375,2159.159912109375,2159.159912109375,2159.159912109375,0.0,^N225,2021.7139,2164.280029296875,-137.446044921875,0.0
1970-08-05,2169.780029296875,2169.780029296875,2169.780029296875,2169.780029296875,2169.780029296875,0.0,^N225,2039.3468,2153.360107421875,0.0,130.4332275390625
1970-08-12,2122.830078125,2122.830078125,2122.830078125,2122.830078125,2122.830078125,0.0,^N225,2035.5216,2130.5400390625,-87.3084716796875,0.0
1970-08-13,2142.85009765625,2142.85009765625,2142.85009765625,2142.85009765625,2142.85009765625,0.0,^N225,2032.8898,2139.050048828125,0.0,109.9603271484375
1970-08-14,2136.14990234375,2136.14990234375,2136.14990234375,2136.14990234375,2136.14990234375,0.0,^N225,2030.79,2144.9599609375,-105.35986328125,0.0
1970-09-03,2139.050048828125,2139.050048828125,2139.050048828125,2139.050048828125,2139.050048828125,0.0,^N225,2039.6412,2094.0,0.0,99.4088134765625
1970-09-14,2168.39990234375,2168.39990234375,2168.39990234375,2168.39990234375,2168.39990234375,0.0,^N225,2049.922,2065.590087890625,0.0,118.477783203125
1970-09-28,2020.8800048828125,2020.8800048828125,2020.8800048828125,2020.8800048828125,2020.8800048828125,0.0,^N225,1986.4413,2133.030029296875,-34.438720703125,0.0
1970-10-05,2065.590087890625,2065.590087890625,2065.590087890625,2065.590087890625,2065.590087890625,0.0,^N225,1950.7396,2094.89990234375,-114.8504638671875,0.0
1970-10-08,2079.929931640625,2079.929931640625,2079.929931640625,2079.929931640625,2079.929931640625,0.0,^N225,1956.5569,2117.260009765625,-123.373046875,0.0
