,adjclose_1
2018-10-23,23545.87
2018-10-24,23442.87
2018-10-25,23313.52
2018-10-26,23162.17
2018-10-29,23001.445
2018-10-30,22849.873
2018-10-31,22732.666
2018-11-01,22645.643
2018-11-02,22596.955
2018-11-05,22569.59
2018-11-06,22557.145
2018-11-07,22570.201
2018-11-08,22613.096
2018-11-09,22666.45
2018-11-12,22714.54
2018-11-13,22736.82
2018-11-14,22743.783
2018-11-15,22726.713
2018-11-16,22703.947
2018-11-19,22679.244
2018-11-20,22647.545
2018-11-21,22602.732
2018-11-26,22567.117
2018-11-27,22549.195
2018-11-28,22554.588
2018-11-29,22584.32
2018-11-30,22631.887
2018-12-03,22699.39
2018-12-04,22761.508
2018-12-05,22795.04
2018-12-06,22792.607
2018-12-07,22767.994
2018-12-10,22711.748
2018-12-11,22633.754
2018-12-12,22560.771
2018-12-13,22509.232
2018-12-14,22464.912
2018-12-17,22421.016
2018-12-18,22368.232
2018-12-19,22303.346
2018-12-20,22210.93
2018-12-25,22038.584
2018-12-26,21821.781
2018-12-27,21620.693
2019-01-04,21421.146
2019-01-07,21258.23
2019-01-08,21138.459
2019-01-09,21062.48
2019-01-10,21010.516
2019-01-11,20983.295
2019-01-15,20977.176
2019-01-16,20986.799
2019-01-17,21005.121
2019-01-18,21034.523
2019-01-21,21079.15
2019-01-22,21126.914
2019-01-23,21162.473
2019-01-24,21194.664
2019-01-25,21231.742
2019-01-28,21267.82
2019-01-29,21296.596
2019-01-30,21321.318
2019-01-31,21350.697
2019-02-01,21383.941
2019-02-04,21418.91
2019-02-05,21454.312
2019-02-06,21489.184
2019-02-07,21514.85
2019-02-08,21517.035
2019-02-12,21514.729
2019-02-13,21529.984
2019-02-14,21558.656
2019-02-15,21585.463
2019-02-18,21623.912
2019-02-19,21669.523
2019-02-20,21724.412
2019-02-21,21785.607
2019-02-22,21844.432
2019-02-25,21905.588
2019-02-26,21963.676
2019-02-27,22019.773
2019-02-28,22067.23
2019-03-01,22111.102
2019-03-04,22162.16
2019-03-05,22212.041
2019-03-06,22253.096
2019-03-07,22279.303
2019-03-08,22281.447
2019-03-11,22257.582
2019-03-12,22237.809
2019-03-13,22216.87
2019-03-14,22198.6
2019-03-15,22188.05
2019-03-18,22186.77
2019-03-19,22191.104
2019-03-20,22201.55
2019-03-22,22220.234
2019-03-25,22215.775
2019-03-26,22208.518
2019-03-27,22197.47
2019-03-28,22171.629
2019-03-29,22142.285
2019-04-01,22130.562
2019-04-02,22134.324
2019-04-03,22149.742
2019-04-04,22175.914
2019-04-05,22211.285
2019-04-08,22252.254
2019-04-09,22292.75
2019-04-10,22324.832
2019-04-11,22351.709
2019-04-12,22379.99
2019-04-15,22425.412
2019-04-16,22480.982
2019-04-17,22546.48
2019-04-18,22609.438
2019-04-19,22662.697
2019-04-22,22711.459
2019-04-23,22756.959
2019-04-24,22800.902
2019-04-25,22841.152
2019-04-26,22874.588
2019-05-07,22894.555
2019-05-08,22882.057
2019-05-09,22840.281
2019-05-10,22777.266
2019-05-13,22691.932
2019-05-14,22585.48
2019-05-15,22477.566
2019-05-16,22372.688
2019-05-17,22285.117
2019-05-20,22216.182
2019-05-21,22160.004
2019-05-22,22118.69
2019-05-23,22081.045
2019-05-24,22042.457
2019-05-27,22008.781
2019-05-28,21989.514
2019-05-29,21965.812
2019-05-30,21933.826
2019-05-31,21889.314
2019-06-03,21821.701
2019-06-04,21742.533
2019-06-05,21676.799
2019-06-06,21625.81
2019-06-07,21591.545
2019-06-10,21584.191
2019-06-11,21596.977
2019-06-12,21623.48
2019-06-13,21651.719
2019-06-14,21680.318
2019-06-17,21708.701
2019-06-18,21732.012
2019-06-19,21764.344
2019-06-20,21807.984
2019-06-21,21856.043
2019-06-24,21894.871
2019-06-25,21924.205
2019-06-26,21938.924
2019-06-27,21952.271
2019-06-28,21965.469
2019-07-01,21997.902
2019-07-02,22044.816
2019-07-03,22094.78
2019-07-04,22145.834
2019-07-05,22195.908
2019-07-08,22237.139
2019-07-09,22270.414
2019-07-10,22294.393
2019-07-11,22312.94
2019-07-12,22330.5
2019-07-16,22342.893
2019-07-17,22345.275
2019-07-18,22327.768
2019-07-19,22303.66
2019-07-22,22279.176
2019-07-23,22264.035
2019-07-24,22265.074
2019-07-25,22279.197
2019-07-26,22296.887
2019-07-29,22312.854
2019-07-30,22332.922
2019-07-31,22347.52
2019-08-01,22352.402
2019-08-02,22334.455
2019-08-05,22282.756
2019-08-06,22193.738
2019-08-07,22086.145
2019-08-08,21974.596
2019-08-09,21874.447
2019-08-13,21775.275
2019-08-14,21690.678
2019-08-15,21606.127
2019-08-16,21526.861
2019-08-19,21463.852
2019-08-20,21419.299
2019-08-21,21386.258
2019-08-22,21367.303
2019-08-23,21358.506
2019-08-26,21339.426
2019-08-27,21322.559
2019-08-28,21307.31
2019-08-29,21293.525
2019-08-30,21294.625
2019-09-02,21300.248
2019-09-03,21303.86
2019-09-04,21312.53
2019-09-05,21344.426
2019-09-06,21399.793
2019-09-09,21470.262
2019-09-10,21556.318
2019-09-11,21656.316
2019-09-12,21769.494
2019-09-13,21894.865
2019-09-17,22019.246
2019-09-18,22135.674
2019-09-19,22246.824
2019-09-20,22350.326
2019-09-24,22441.658
2019-09-25,22513.484
2019-09-26,22575.621
2019-09-27,22617.295
2019-09-30,22636.787
2019-10-01,22645.666
2019-10-02,22642.69
2019-10-03,22613.146
2019-10-04,22565.79
2019-10-07,22510.58
2019-10-08,22462.9
2019-10-09,22416.346
2019-10-10,22376.684
2019-10-11,22358.33
2019-10-15,22375.324
2019-10-16,22433.477
2019-10-17,22512.543
2019-10-18,22604.566
2019-10-21,22699.76
2019-10-23,22795.486
2019-10-24,22893.309
2019-10-25,22988.672
2019-10-28,23080.94
2019-10-29,23174.16
2019-10-30,23261.74
2019-10-31,23339.629
2019-11-01,23398.91
2019-11-05,23465.803
2019-11-06,23537.19
2019-11-07,23607.494
2019-11-08,23682.613
2019-11-11,23750.732
2019-11-12,23813.62
