,adjclose_1
2018-11-06,22124.338
2018-11-07,22137.918
2018-11-08,22178.049
2018-11-09,22227.58
2018-11-12,22272.867
2018-11-13,22292.15
2018-11-14,22297.264
2018-11-15,22288.037
2018-11-16,22269.871
2018-11-19,22247.87
2018-11-20,22216.564
2018-11-21,22172.004
2018-11-26,22136.428
2018-11-27,22118.693
2018-11-28,22122.316
2018-11-29,22149.822
2018-11-30,22189.852
2018-12-03,22250.938
2018-12-04,22307.537
2018-12-05,22335.96
2018-12-06,22332.121
2018-12-07,22309.094
2018-12-10,22256.809
2018-12-11,22184.277
2018-12-12,22116.592
2018-12-13,22070.332
2018-12-14,22028.666
2018-12-17,21989.15
2018-12-18,21940.275
2018-12-19,21879.871
2018-12-20,21792.848
2018-12-25,21640.787
2018-12-26,21442.902
2018-12-27,21257.018
2019-01-04,21070.51
2019-01-07,20917.574
2019-01-08,20803.482
2019-01-09,20729.994
2019-01-10,20678.004
2019-01-11,20647.682
2019-01-15,20636.861
2019-01-16,20642.592
2019-01-17,20658.0
2019-01-18,20684.066
2019-01-21,20726.012
2019-01-22,20771.943
2019-01-23,20811.994
2019-01-24,20844.914
2019-01-25,20879.97
2019-01-28,20914.088
2019-01-29,20940.443
2019-01-30,20961.91
2019-01-31,20987.264
2019-02-01,21014.918
2019-02-04,21045.115
2019-02-05,21077.117
2019-02-06,21108.83
2019-02-07,21132.01
2019-02-08,21131.574
2019-02-12,21127.217
2019-02-13,21140.99
2019-02-14,21169.254
2019-02-15,21196.43
2019-02-18,21235.107
2019-02-19,21281.193
2019-02-20,21335.469
2019-02-21,21394.44
2019-02-22,21451.45
2019-02-25,21511.148
2019-02-26,21567.889
2019-02-27,21620.72
2019-02-28,21664.516
2019-03-01,21705.129
2019-03-04,21753.62
2019-03-05,21800.951
2019-03-06,21840.137
2019-03-07,21863.008
2019-03-08,21861.037
2019-03-11,21838.018
2019-03-12,21820.016
2019-03-13,21802.13
2019-03-14,21787.404
2019-03-15,21777.086
2019-03-18,21777.254
2019-03-19,21782.695
2019-03-20,21792.727
2019-03-22,21808.955
2019-03-25,21802.723
2019-03-26,21790.828
2019-03-27,21777.309
2019-03-28,21751.74
2019-03-29,21725.072
2019-04-01,21714.986
2019-04-02,21720.703
2019-04-03,21736.793
2019-04-04,21763.365
2019-04-05,21798.174
2019-04-08,21838.912
2019-04-09,21878.658
2019-04-10,21909.14
2019-04-11,21934.156
2019-04-12,21960.75
2019-04-15,22003.285
2019-04-16,22055.65
2019-04-17,22115.516
2019-04-18,22173.572
2019-04-19,22229.594
2019-04-22,22280.125
2019-04-23,22325.902
2019-04-24,22367.963
2019-04-25,22404.822
2019-04-26,22433.531
2019-05-07,22447.842
2019-05-08,22430.238
2019-05-09,22384.65
2019-05-10,22320.516
2019-05-13,22238.246
2019-05-14,22136.334
2019-05-15,22034.89
2019-05-16,21937.457
2019-05-17,21857.275
2019-05-20,21795.613
2019-05-21,21745.1
2019-05-22,21708.791
2019-05-23,21675.252
2019-05-24,21639.52
2019-05-27,21610.783
2019-05-28,21590.29
2019-05-29,21566.178
2019-05-30,21535.332
2019-05-31,21491.785
2019-06-03,21426.53
2019-06-04,21351.545
2019-06-05,21289.887
2019-06-06,21243.234
2019-06-07,21213.555
2019-06-10,21208.729
2019-06-11,21222.547
2019-06-12,21248.04
2019-06-13,21273.496
2019-06-14,21299.113
2019-06-17,21325.795
2019-06-18,21348.406
2019-06-19,21378.676
2019-06-20,21420.059
2019-06-21,21462.846
2019-06-24,21499.38
2019-06-25,21527.576
2019-06-26,21542.338
