,adjclose_1
2015-12-02,23274.781
2015-12-03,23287.139
2015-12-04,23252.676
2015-12-07,23216.61
2015-12-08,23168.209
2015-12-09,23090.938
2015-12-10,22972.186
2015-12-11,22859.553
2015-12-14,22721.834
2015-12-15,22573.764
2015-12-16,22467.48
2015-12-17,22445.146
2015-12-18,22461.389
2015-12-21,22443.729
2015-12-22,22414.723
2015-12-24,22384.26
2015-12-25,22340.943
2015-12-28,22298.717
2015-12-29,22265.047
2015-12-30,22255.617
2016-01-04,22212.361
2016-01-05,22130.713
2016-01-06,22022.604
2016-01-07,21876.793
2016-01-08,21701.588
2016-01-12,21489.623
2016-01-13,21308.717
2016-01-14,21122.242
2016-01-15,20964.736
2016-01-18,20785.352
2016-01-19,20625.375
2016-01-20,20460.746
2016-01-21,20270.674
2016-01-22,20135.297
2016-01-25,20088.35
2016-01-26,20048.186
2016-01-27,20057.078
2016-01-28,20086.008
2016-01-29,20162.549
2016-02-01,20320.734
2016-02-02,20497.506
2016-02-03,20614.104
2016-02-04,20663.076
2016-02-05,20642.518
2016-02-08,20592.602
2016-02-09,20473.223
2016-02-10,20277.76
2016-02-12,19990.08
2016-02-15,19748.88
2016-02-16,19592.217
2016-02-17,19479.404
2016-02-18,19432.37
2016-02-19,19389.424
2016-02-22,19353.42
2016-02-23,19341.002
2016-02-24,19305.861
2016-02-25,19286.084
2016-02-26,19297.31
2016-02-29,19311.238
2016-03-01,19300.754
2016-03-02,19351.314
2016-03-03,19458.486
2016-03-04,19598.281
2016-03-07,19736.988
2016-03-08,19840.252
2016-03-09,19893.455
2016-03-10,19936.002
2016-03-11,19970.26
2016-03-14,20042.703
2016-03-15,20117.977
2016-03-16,20165.01
2016-03-17,20195.451
2016-03-18,20184.826
2016-03-22,20178.092
2016-03-23,20174.793
2016-03-24,20161.537
2016-03-25,20147.201
2016-03-28,20147.508
2016-03-29,20147.586
2016-03-30,20138.08
2016-03-31,20116.28
2016-04-01,20036.963
2016-04-04,19901.71
2016-04-05,19722.371
2016-04-06,19520.867
2016-04-07,19332.135
2016-04-08,19171.715
2016-04-11,19034.795
2016-04-12,18941.281
2016-04-13,18935.107
2016-04-14,19037.635
2016-04-15,19186.799
2016-04-18,19291.953
2016-04-19,19408.703
2016-04-20,19546.232
2016-04-21,19718.172
2016-04-22,19912.357
2016-04-25,20109.135
2016-04-26,20263.848
2016-04-27,20377.541
2016-04-28,20433.393
2016-05-02,20350.422
2016-05-06,20195.076
2016-05-09,20023.393
2016-05-10,19888.027
2016-05-11,19810.95
2016-05-12,19755.475
2016-05-13,19725.127
2016-05-16,19693.812
2016-05-17,19678.281
2016-05-18,19679.514
2016-05-19,19696.748
2016-05-20,19712.523
2016-05-23,19715.799
2016-05-24,19702.201
2016-05-25,19706.57
2016-05-26,19728.758
2016-05-27,19755.484
2016-05-30,19799.854
2016-05-31,19868.104
2016-06-01,19927.477
2016-06-02,19934.67
2016-06-03,19907.227
2016-06-06,19845.406
2016-06-07,19791.305
2016-06-08,19758.238
2016-06-09,19732.814
2016-06-10,19705.662
2016-06-13,19627.71
2016-06-14,19503.44
2016-06-15,19363.584
2016-06-16,19203.56
2016-06-17,19054.553
2016-06-20,18958.822
2016-06-21,18909.77
2016-06-22,18895.31
2016-06-23,18910.904
2016-06-24,18882.7
2016-06-27,18790.99
2016-06-28,18678.32
2016-06-29,18602.21
2016-06-30,18568.57
2016-07-01,18560.996
2016-07-04,18563.264
2016-07-05,18565.932
2016-07-06,18533.502
2016-07-07,18481.516
2016-07-08,18412.523
2016-07-11,18386.436
2016-07-12,18448.662
2016-07-13,18581.277
2016-07-14,18735.615
2016-07-15,18906.996
2016-07-19,19087.04
2016-07-20,19249.408
2016-07-21,19408.719
2016-07-22,19520.053
2016-07-25,19597.756
2016-07-26,19622.508
2016-07-27,19645.426
2016-07-28,19648.684
2016-07-29,19642.562
2016-08-01,19640.66
2016-08-02,19627.938
2016-08-03,19576.477
2016-08-04,19511.986
2016-08-05,19460.195
2016-08-08,19454.379
2016-08-09,19488.406
2016-08-10,19539.535
2016-08-12,19612.424
2016-08-15,19682.451
2016-08-16,19724.91
2016-08-17,19743.799
2016-08-18,19736.2
2016-08-19,19710.846
2016-08-22,19681.773
2016-08-23,19646.656
2016-08-24,19615.643
2016-08-25,19586.205
2016-08-26,19541.09
2016-08-29,19528.152
2016-08-30,19534.291
2016-08-31,19573.812
2016-09-01,19630.594
2016-09-02,19689.508
2016-09-05,19765.473
2016-09-06,19838.613
2016-09-07,19893.758
2016-09-08,19929.438
2016-09-09,19955.5
2016-09-12,19940.566
2016-09-13,19908.064
2016-09-14,19858.459
2016-09-15,19782.81
2016-09-16,19707.469
2016-09-20,19639.357
2016-09-21,19609.043
2016-09-23,19615.055
2016-09-26,19616.979
2016-09-27,19610.32
2016-09-28,19590.832
2016-09-29,19590.752
2016-09-30,19574.979
2016-10-03,19567.35
2016-10-04,19575.34
2016-10-05,19602.56
2016-10-06,19651.037
2016-10-07,19696.87
2016-10-11,19753.0
2016-10-12,19793.547
2016-10-13,19818.6
2016-10-14,19827.451
2016-10-17,19835.295
2016-10-18,19843.797
2016-10-19,19859.264
2016-10-20,19895.225
2016-10-21,19949.867
2016-10-24,20004.818
2016-10-25,20070.031
2016-10-26,20134.594
2016-10-27,20191.205
2016-10-28,20255.934
2016-10-31,20314.637
2016-11-01,20365.459
2016-11-02,20379.832
2016-11-04,20343.176
2016-11-07,20309.996
2016-11-08,20286.027
2016-11-09,20229.477
2016-11-10,20202.479
2016-11-11,20252.662
2016-11-14,20348.805
2016-11-15,20469.07
