,adjclose_2
2017-12-20,23609.17
2017-12-21,23627.781
2017-12-22,23644.832
2017-12-25,23675.71
2017-12-26,23703.578
2017-12-27,23727.629
2018-01-05,23794.484
2018-01-09,23897.016
2018-01-10,24004.498
2018-01-11,24096.365
2018-01-12,24170.344
2018-01-15,24237.787
2018-01-16,24302.25
2018-01-17,24355.986
2018-01-18,24404.756
2018-01-19,24443.584
2018-01-22,24471.9
2018-01-23,24508.496
2018-01-24,24543.291
2018-01-25,24555.89
2018-01-26,24552.684
2018-01-29,24542.95
2018-01-30,24509.836
2018-01-31,24449.338
2018-02-01,24390.566
2018-02-02,24331.611
2018-02-05,24242.678
2018-02-06,24065.217
2018-02-07,23865.67
2018-02-09,23631.262
2018-02-13,23403.355
2018-02-14,23179.52
2018-02-15,22995.98
2018-02-16,22867.707
2018-02-19,22806.67
2018-02-20,22783.771
2018-02-21,22782.605
2018-02-22,22776.164
2018-02-23,22776.426
2018-02-26,22803.129
2018-02-27,22859.975
2018-02-28,22912.912
2018-03-01,22928.979
2018-03-02,22882.805
2018-03-05,22793.523
2018-03-06,22717.912
2018-03-07,22645.209
2018-03-08,22589.764
2018-03-09,22556.225
2018-03-12,22560.285
2018-03-13,22584.924
2018-03-14,22613.852
2018-03-15,22639.217
2018-03-16,22662.541
2018-03-20,22651.682
2018-03-22,22632.025
2018-03-23,22563.52
2018-03-26,22452.734
2018-03-27,22367.293
2018-03-28,22289.148
2018-03-29,22240.621
2018-03-30,22231.71
2018-04-02,22250.47
2018-04-03,22261.676
2018-04-04,22276.965
2018-04-05,22311.81
2018-04-06,22356.996
2018-04-09,22405.328
2018-04-10,22457.61
2018-04-11,22510.396
2018-04-12,22553.605
2018-04-13,22597.49
2018-04-16,22642.883
2018-04-17,22684.367
2018-04-18,22735.51
2018-04-19,22799.88
2018-04-20,22861.998
2018-04-23,22915.725
2018-04-24,22966.646
2018-04-25,23006.738
2018-04-27,23055.71
2018-05-07,23109.914
2018-05-08,23162.373
2018-05-09,23204.088
2018-05-10,23242.443
2018-05-11,23287.988
2018-05-14,23344.328
2018-05-15,23403.441
2018-05-16,23451.79
2018-05-17,23498.104
2018-05-18,23546.758
2018-05-21,23598.61
2018-05-22,23648.7
2018-05-23,23678.516
2018-05-24,23673.912
2018-05-25,23645.646
2018-05-28,23614.064
2018-05-29,23574.434
2018-05-30,23504.031
2018-05-31,23427.996
2018-06-01,23363.285
2018-06-04,23327.707
2018-06-05,23319.482
2018-06-06,23329.016
2018-06-07,23361.824
2018-06-08,23401.463
2018-06-11,23445.105
2018-06-12,23497.477
2018-06-13,23552.656
2018-06-14,23593.639
2018-06-15,23624.139
2018-06-18,23642.098
2018-06-19,23629.455
2018-06-20,23598.176
2018-06-21,23575.832
2018-06-22,23547.309
2018-06-25,23519.652
2018-06-26,23478.719
2018-06-27,23437.715
2018-06-28,23393.795
2018-06-29,23357.148
2018-07-02,23312.799
2018-07-03,23247.5
2018-07-04,23170.523
2018-07-05,23087.625
2018-07-06,23016.02
2018-07-09,22974.22
2018-07-10,22966.434
2018-07-11,22959.354
2018-07-12,22967.139
2018-07-13,23009.38
2018-07-16,23077.969
2018-07-17,23154.803
2018-07-18,23247.412
2018-07-19,23337.66
2018-07-20,23410.432
2018-07-23,23443.951
2018-07-24,23461.87
2018-07-25,23477.844
2018-07-26,23493.164
2018-07-27,23507.941
2018-07-30,23514.379
2018-07-31,23506.125
2018-08-01,23504.752
2018-08-02,23501.723
2018-08-03,23496.531
2018-08-06,23490.42
2018-08-07,23487.219
2018-08-08,23492.662
2018-08-09,23497.074
2018-08-10,23490.086
2018-08-13,23443.922
2018-08-14,23398.637
2018-08-15,23361.682
2018-08-16,23316.268
2018-08-17,23288.01
2018-08-20,23268.426
2018-08-21,23250.73
2018-08-22,23244.016
2018-08-23,23253.176
2018-08-24,23278.975
2018-08-27,23327.465
2018-08-28,23393.545
2018-08-29,23461.217
2018-08-30,23527.262
2018-08-31,23577.344
2018-09-03,23614.422
2018-09-04,23636.922
2018-09-05,23642.723
2018-09-06,23628.965
2018-09-07,23592.5
2018-09-10,23549.908
2018-09-11,23522.012
2018-09-12,23508.959
