,adjclose_1
2018-11-06,22463.158
2018-11-07,22469.945
2018-11-08,22510.34
2018-11-09,22563.408
2018-11-12,22609.139
2018-11-13,22632.436
2018-11-14,22641.1
2018-11-15,22617.89
2018-11-16,22595.145
2018-11-19,22572.803
2018-11-20,22545.525
2018-11-21,22504.09
2018-11-26,22471.943
2018-11-27,22457.34
2018-11-28,22464.828
2018-11-29,22495.598
2018-11-30,22546.127
2018-12-03,22614.287
2018-12-04,22678.154
2018-12-05,22710.656
2018-12-06,22708.637
2018-12-07,22683.617
2018-12-10,22626.418
2018-12-11,22548.771
2018-12-12,22475.777
2018-12-13,22423.56
2018-12-14,22380.379
2018-12-17,22333.113
2018-12-18,22277.492
2018-12-19,22210.658
2018-12-20,22118.953
2018-12-25,21939.104
2018-12-26,21719.576
2018-12-27,21519.78
2019-01-04,21323.922
2019-01-07,21163.293
2019-01-08,21044.984
2019-01-09,20967.543
2019-01-10,20912.502
2019-01-11,20881.693
2019-01-15,20871.16
2019-01-16,20877.377
2019-01-17,20892.484
2019-01-18,20918.305
2019-01-21,20960.85
2019-01-22,21007.096
2019-01-23,21034.848
2019-01-24,21064.867
2019-01-25,21103.781
2019-01-28,21143.428
2019-01-29,21176.33
2019-01-30,21207.027
2019-01-31,21242.863
2019-02-01,21281.793
2019-02-04,21319.434
2019-02-05,21356.09
2019-02-06,21391.352
2019-02-07,21417.021
2019-02-08,21420.486
2019-02-12,21418.143
2019-02-13,21433.555
2019-02-14,21460.754
2019-02-15,21485.807
2019-02-18,21522.107
2019-02-19,21564.637
2019-02-20,21617.047
2019-02-21,21677.621
2019-02-22,21735.246
2019-02-25,21795.889
2019-02-26,21854.586
2019-02-27,21912.754
2019-02-28,21963.912
2019-03-01,22010.115
2019-03-04,22063.055
2019-03-05,22113.834
2019-03-06,22155.375
2019-03-07,22183.494
2019-03-08,22191.31
2019-03-11,22168.75
2019-03-12,22149.28
2019-03-13,22128.451
2019-03-14,22110.082
2019-03-15,22100.176
2019-03-18,22097.406
2019-03-19,22099.605
2019-03-20,22108.217
2019-03-22,22127.465
2019-03-25,22124.133
2019-03-26,22119.32
2019-03-27,22109.246
2019-03-28,22082.926
2019-03-29,22051.412
2019-04-01,22038.393
2019-04-02,22041.598
2019-04-03,22055.104
2019-04-04,22078.45
2019-04-05,22110.701
2019-04-08,22149.39
2019-04-09,22187.746
2019-04-10,22218.346
2019-04-11,22245.293
2019-04-12,22274.736
2019-04-15,22322.662
2019-04-16,22379.479
2019-04-17,22447.727
2019-04-18,22513.648
2019-04-19,22562.633
2019-04-22,22608.816
2019-04-23,22654.777
2019-04-24,22703.074
2019-04-25,22747.395
2019-04-26,22785.287
2019-05-07,22812.162
2019-05-08,22804.92
2019-05-09,22768.193
2019-05-10,22709.324
2019-05-13,22623.736
2019-05-14,22515.465
2019-05-15,22405.47
2019-05-16,22298.336
2019-05-17,22207.123
2019-05-20,22132.693
2019-05-21,22070.822
2019-05-22,22024.596
2019-05-23,21982.488
2019-05-24,21940.129
2019-05-27,21901.646
2019-05-28,21883.332
2019-05-29,21860.652
2019-05-30,21828.053
2019-05-31,21784.959
2019-06-03,21717.36
2019-06-04,21638.854
2019-06-05,21574.117
2019-06-06,21522.535
2019-06-07,21486.172
2019-06-10,21477.164
2019-06-11,21487.602
2019-06-12,21512.322
2019-06-13,21540.504
2019-06-14,21569.605
2019-06-17,21597.73
2019-06-18,21621.717
2019-06-19,21655.857
2019-06-20,21701.086
2019-06-21,21754.496
2019-06-24,21793.95
2019-06-25,21823.176
2019-06-26,21836.97
2019-06-27,21850.295
2019-06-28,21864.656
2019-07-01,21898.916
2019-07-02,21946.404
2019-07-03,21996.494
2019-07-04,22045.977
2019-07-05,22094.518
2019-07-08,22135.857
2019-07-09,22170.166
2019-07-10,22195.816
2019-07-11,22215.354
2019-07-12,22233.846
2019-07-16,22247.455
2019-07-17,22251.19
2019-07-18,22237.361
2019-07-19,22214.633
2019-07-22,22190.271
2019-07-23,22173.867
2019-07-24,22174.436
2019-07-25,22187.438
2019-07-26,22204.197
2019-07-29,22219.42
2019-07-30,22239.596
2019-07-31,22256.715
2019-08-01,22264.248
2019-08-02,22250.951
2019-08-05,22203.695
2019-08-06,22116.887
2019-08-07,22009.936
2019-08-08,21896.266
2019-08-09,21793.148
2019-08-13,21690.6
2019-08-14,21602.229
2019-08-15,21513.7
2019-08-16,21429.875
2019-08-19,21362.54
2019-08-20,21313.76
2019-08-21,21276.92
2019-08-22,21256.182
2019-08-23,21245.541
2019-08-26,21227.27
2019-08-27,21211.928
2019-08-28,21197.24
2019-08-29,21184.178
2019-08-30,21187.488
2019-09-02,21192.57
2019-09-03,21189.977
2019-09-04,21196.166
2019-09-05,21230.764
2019-09-06,21290.918
2019-09-09,21364.332
2019-09-10,21455.717
2019-09-11,21562.713
2019-09-12,21681.363
2019-09-13,21812.102
2019-09-17,21936.92
2019-09-18,22050.234
2019-09-19,22157.582
2019-09-20,22258.564
2019-09-24,22346.545
2019-09-25,22414.37
2019-09-26,22476.107
2019-09-27,22518.438
2019-09-30,22538.55
2019-10-01,22547.2
2019-10-02,22543.74
2019-10-03,22514.31
2019-10-04,22466.428
2019-10-07,22410.33
2019-10-08,22362.719
2019-10-09,22315.852
2019-10-10,22276.674
2019-10-11,22260.502
2019-10-15,22280.547
