,adjclose_1
2018-11-06,21712.086
2018-11-07,21727.33
2018-11-08,21768.066
2018-11-09,21818.953
2018-11-12,21864.98
2018-11-13,21885.572
2018-11-14,21891.725
2018-11-15,21885.088
2018-11-16,21868.895
2018-11-19,21847.137
2018-11-20,21815.604
2018-11-21,21769.9
2018-11-26,21732.865
2018-11-27,21714.414
2018-11-28,21716.697
2018-11-29,21743.691
2018-11-30,21782.053
2018-12-03,21842.246
2018-12-04,21899.594
2018-12-05,21927.408
2018-12-06,21924.531
2018-12-07,21902.146
2018-12-10,21851.172
2018-12-11,21780.262
2018-12-12,21712.195
2018-12-13,21665.584
2018-12-14,21624.207
2018-12-17,21585.06
2018-12-18,21537.627
2018-12-19,21479.111
2018-12-20,21394.986
2018-12-25,21250.947
2018-12-26,21058.447
2018-12-27,20873.275
2019-01-04,20687.912
2019-01-07,20534.842
2019-01-08,20420.314
2019-01-09,20346.326
2019-01-10,20294.816
2019-01-11,20264.672
2019-01-15,20252.9
2019-01-16,20259.451
2019-01-17,20276.637
2019-01-18,20303.23
2019-01-21,20346.305
2019-01-22,20393.701
2019-01-23,20435.871
2019-01-24,20469.557
2019-01-25,20503.465
2019-01-28,20537.088
2019-01-29,20562.342
2019-01-30,20583.113
2019-01-31,20607.264
2019-02-01,20632.852
2019-02-04,20660.994
2019-02-05,20691.902
2019-02-06,20722.71
2019-02-07,20745.4
2019-02-08,20744.96
2019-02-12,20738.092
2019-02-13,20749.531
2019-02-14,20776.607
2019-02-15,20804.15
2019-02-18,20842.955
2019-02-19,20889.35
2019-02-20,20943.494
2019-02-21,21001.96
2019-02-22,21058.84
2019-02-25,21118.877
2019-02-26,21176.12
2019-02-27,21228.45
2019-02-28,21272.031
2019-03-01,21311.518
2019-03-04,21358.947
2019-03-05,21405.262
2019-03-06,21444.08
2019-03-07,21466.387
2019-03-08,21464.375
2019-03-11,21441.508
2019-03-12,21422.729
2019-03-13,21404.932
2019-03-14,21390.873
2019-03-15,21379.76
2019-03-18,21379.7
2019-03-19,21385.281
2019-03-20,21395.26
2019-03-22,21411.52
2019-03-25,21406.486
2019-03-26,21393.062
2019-03-27,21378.697
2019-03-28,21353.816
