,adjclose_15
2018-01-17,19449.463
2018-01-18,19482.178
2018-01-19,19506.865
2018-01-23,19534.414
2018-01-24,19560.88
2018-01-25,19573.139
2018-01-26,19574.033
2018-01-29,19566.256
2018-01-30,19542.938
2018-01-31,19502.727
2018-02-01,19463.135
2018-02-02,19422.58
2018-02-05,19362.896
2018-02-06,19250.863
2018-02-07,19115.223
2018-02-08,18970.092
2018-02-09,18810.764
2018-02-13,18655.307
2018-02-14,18502.857
2018-02-15,18374.951
2018-02-16,18282.885
2018-02-19,18237.254
2018-02-20,18222.0
2018-02-21,18227.45
2018-02-22,18234.059
2018-02-23,18243.49
2018-02-26,18267.59
2018-02-27,18312.201
2018-03-01,18338.71
2018-03-02,18324.832
2018-03-05,18275.643
2018-03-06,18225.004
2018-03-07,18172.672
2018-03-08,18127.59
2018-03-09,18100.154
2018-03-12,18096.176
2018-03-13,18108.674
2018-03-14,18126.736
2018-03-15,18144.281
2018-03-16,18162.07
2018-03-19,18166.744
2018-03-20,18154.188
2018-03-22,18139.545
2018-03-23,18097.342
2018-03-26,18026.299
2018-03-27,17967.545
2018-03-28,17911.623
2018-03-29,17871.395
2018-03-30,17855.91
2018-04-02,17858.37
2018-04-03,17862.014
2018-04-04,17872.812
2018-04-05,17899.469
2018-04-06,17934.617
2018-04-10,17976.453
2018-04-11,18020.418
2018-04-16,18065.305
2018-04-17,18107.781
2018-04-18,18156.785
2018-04-19,18215.494
2018-04-20,18271.85
2018-04-23,18320.094
2018-04-24,18365.764
2018-04-25,18402.924
2018-04-26,18438.537
2018-04-27,18477.979
2018-05-01,18518.445
2018-05-02,18556.268
2018-05-07,18587.656
2018-05-08,18614.846
2018-05-09,18635.389
2018-05-10,18652.06
2018-05-11,18674.105
2018-05-14,18703.477
2018-05-15,18739.54
2018-05-16,18771.426
2018-05-17,18802.258
2018-05-18,18833.38
2018-05-21,18865.559
2018-05-22,18896.957
2018-05-23,18916.965
2018-05-24,18916.549
2018-05-25,18898.121
2018-05-28,18871.834
