,adjclose_1
2018-11-06,16778.049
2018-11-07,16765.686
2018-11-08,16760.686
2018-11-09,16759.816
2018-11-12,16760.156
2018-11-13,16758.94
2018-11-14,16756.105
2018-11-15,16745.84
2018-11-16,16736.615
2018-11-19,16727.91
2018-11-20,16718.91
2018-11-21,16708.086
2018-11-26,16698.637
2018-11-27,16691.734
2018-11-28,16689.57
2018-11-29,16691.6
2018-11-30,16699.998
2018-12-03,16711.873
2018-12-04,16724.584
2018-12-05,16734.611
2018-12-06,16738.514
2018-12-07,16738.053
2018-12-10,16730.96
2018-12-11,16718.693
2018-12-12,16706.363
2018-12-13,16695.71
2018-12-14,16686.098
2018-12-17,16674.58
2018-12-18,16660.787
2018-12-19,16644.0
2018-12-20,16621.873
2018-12-25,16578.656
2018-12-26,16527.72
2018-12-27,16478.408
2019-01-04,16426.965
2019-01-07,16379.783
2019-01-08,16339.244
2019-01-09,16305.767
2019-01-10,16276.8
2019-01-11,16253.641
2019-01-15,16236.4
2019-01-16,16222.83
2019-01-17,16212.241
2019-01-18,16206.121
2019-01-21,16204.133
2019-01-22,16204.49
2019-01-23,16201.84
2019-01-24,16201.837
2019-01-25,16205.0625
2019-01-28,16208.942
2019-01-29,16213.355
2019-01-30,16218.23
2019-01-31,16225.272
2019-02-01,16234.655
2019-02-04,16244.715
2019-02-05,16254.922
2019-02-06,16265.543
2019-02-07,16274.927
2019-02-08,16280.91
2019-02-12,16286.934
2019-02-13,16295.273
2019-02-14,16304.817
2019-02-15,16313.399
2019-02-18,16323.762
2019-02-19,16335.005
2019-02-20,16348.309
2019-02-21,16363.645
2019-02-22,16378.494
2019-02-25,16393.744
2019-02-26,16408.924
2019-02-27,16425.105
2019-02-28,16440.41
2019-03-01,16455.477
2019-03-04,16471.59
2019-03-05,16487.643
2019-03-06,16501.887
2019-03-07,16514.354
2019-03-08,16523.428
2019-03-11,16525.984
2019-03-12,16528.379
2019-03-13,16528.965
2019-03-14,16528.541
2019-03-15,16530.02
2019-03-18,16531.291
2019-03-19,16532.986
2019-03-20,16535.695
2019-03-22,16540.33
2019-03-25,16541.057
2019-03-26,16543.395
2019-03-27,16543.973
2019-03-28,16540.78
2019-03-29,16535.512
2019-04-01,16533.24
2019-04-02,16532.926
2019-04-03,16535.26
2019-04-04,16539.01
2019-04-05,16544.639
2019-04-08,16551.074
2019-04-09,16558.139
2019-04-10,16564.63
2019-04-11,16570.658
2019-04-12,16577.371
2019-04-15,16587.719
2019-04-16,16600.436
2019-04-17,16616.57
2019-04-18,16632.742
2019-04-19,16644.281
2019-04-22,16656.34
2019-04-23,16668.56
2019-04-24,16681.621
2019-04-25,16695.104
2019-04-26,16708.414
2019-05-07,16720.232
2019-05-08,16726.787
2019-05-09,16728.037
2019-05-10,16724.559
2019-05-13,16714.463
2019-05-14,16699.205
2019-05-15,16680.605
2019-05-16,16659.654
2019-05-17,16639.3
2019-05-20,16620.037
2019-05-21,16602.158
2019-05-22,16585.666
2019-05-23,16569.574
2019-05-24,16553.744
2019-05-27,16537.26
2019-05-28,16526.24
2019-05-29,16514.28
2019-05-30,16500.797
2019-05-31,16485.795
2019-06-03,16466.695
2019-06-04,16444.855
2019-06-05,16425.096
2019-06-06,16407.02
2019-06-07,16391.105
2019-06-10,16380.314
2019-06-11,16373.736
2019-06-12,16370.763
2019-06-13,16369.977
2019-06-14,16370.615
2019-06-17,16371.811
2019-06-18,16372.952
2019-06-19,16377.429
2019-06-20,16384.693
2019-06-21,16395.266
2019-06-24,16403.92
2019-06-25,16411.46
2019-06-26,16416.457
2019-06-27,16421.832
2019-06-28,16427.078
2019-07-01,16436.275
2019-07-02,16447.873
2019-07-03,16460.232
2019-07-04,16472.137
2019-07-05,16484.383
2019-07-08,16495.494
2019-07-09,16505.777
2019-07-10,16515.133
2019-07-11,16523.25
2019-07-12,16530.408
2019-07-16,16536.324
2019-07-17,16540.465
2019-07-18,16541.213
2019-07-19,16540.74
2019-07-22,16538.475
2019-07-23,16537.016
2019-07-24,16537.465
2019-07-25,16539.781
2019-07-26,16542.611
2019-07-29,16545.232
2019-07-30,16549.225
2019-07-31,16554.053
2019-08-01,16558.342
2019-08-02,16559.504
2019-08-05,16554.264
2019-08-06,16542.475
2019-08-07,16524.385
2019-08-08,16502.693
2019-08-09,16480.17
2019-08-13,16456.488
2019-08-14,16433.11
2019-08-15,16409.092
2019-08-16,16384.613
2019-08-19,16361.504
2019-08-20,16341.31
2019-08-21,16323.56
2019-08-22,16308.531
2019-08-23,16296.299
2019-08-26,16284.013
2019-08-27,16272.737
2019-08-28,16262.156
2019-08-29,16252.505
2019-08-30,16247.287
2019-09-02,16242.553
2019-09-03,16235.485
2019-09-04,16231.429
2019-09-05,16234.819
2019-09-06,16243.775
2019-09-09,16256.862
2019-09-10,16276.22
2019-09-11,16301.905
2019-09-12,16331.895
2019-09-13,16367.552
2019-09-17,16403.627
2019-09-18,16438.422
2019-09-19,16473.13
2019-09-20,16507.332
2019-09-24,16538.975
2019-09-25,16566.523
2019-09-26,16592.242
2019-09-27,16613.75
2019-09-30,16630.041
2019-10-01,16642.633
2019-10-02,16651.467
2019-10-03,16653.914
2019-10-04,16650.816
2019-10-07,16643.137
2019-10-08,16635.385
2019-10-09,16626.191
2019-10-10,16617.062
2019-10-11,16611.158
2019-10-15,16612.041
2019-10-16,16621.207
2019-10-17,16634.709
2019-10-18,16651.875
2019-10-21,16670.621
2019-10-23,16691.81
2019-10-24,16714.756
2019-10-25,16738.523
2019-10-28,16762.227
2019-10-29,16788.19
2019-10-30,16815.992
2019-10-31,16842.664
2019-11-01,16866.082
2019-11-05,16892.46
2019-11-06,16918.64
2019-11-07,16944.193
2019-11-08,16971.164
2019-11-11,16995.496
2019-11-12,17018.723
2019-11-13,17039.08
2019-11-14,17056.758
2019-11-15,17071.967
2019-11-18,17084.621
2019-11-19,17095.209
2019-11-20,17103.096
2019-11-21,17107.264
2019-11-22,17108.639
2019-11-25,17109.207
2019-11-26,17113.96
2019-11-27,17118.244
2019-11-28,17121.918
2019-11-29,17125.037
2019-12-02,17128.79
2019-12-03,17132.324
2019-12-04,17133.318
2019-12-05,17134.11
2019-12-06,17134.81
2019-12-09,17136.281
2019-12-10,17138.072
2019-12-11,17140.426
2019-12-12,17142.863
2019-12-13,17154.412
2019-12-16,17166.893
2019-12-17,17182.285
2019-12-18,17198.633
2019-12-19,17213.684
2019-12-20,17228.012
2019-12-23,17239.375
2019-12-24,17248.092
2019-12-25,17253.893
2019-12-26,17258.992
2019-12-27,17263.416
2019-12-30,17265.758
2020-01-06,17265.174
2020-01-07,17263.059
2020-01-08,17258.176
2020-01-09,17253.896
2020-01-10,17251.54
2020-01-14,17253.113
2020-01-15,17256.348
2020-01-16,17260.732
2020-01-17,17267.12
2020-01-20,17273.604
2020-01-21,17279.379
2020-01-22,17285.47
2020-01-23,17290.357
2020-01-24,17293.498
2020-01-27,17292.828
2020-01-28,17287.5
2020-01-29,17278.832
2020-01-30,17266.893
2020-01-31,17255.1
2020-02-03,17240.793
2020-02-04,17225.068
2020-02-05,17211.186
2020-02-06,17205.777
2020-02-07,17204.291
2020-02-10,17204.762
2020-02-12,17208.84
2020-02-13,17214.467
2020-02-14,17220.445
2020-02-17,17223.549
2020-02-18,17222.754
2020-02-19,17220.438
2020-02-20,17218.465
2020-02-21,17216.393
2020-02-25,17210.57
2020-02-26,17198.273
2020-02-27,17178.396
2020-02-28,17149.506
2020-03-02,17112.586
2020-03-03,17068.213
2020-03-04,17018.898
2020-03-05,16967.941
2020-03-06,16915.314
2020-03-09,16858.057
2020-03-10,16796.008
2020-03-11,16727.703
2020-03-12,16651.994
2020-03-13,16565.477
2020-03-16,16464.299
2020-03-17,16357.315
2020-03-18,16244.447
2020-03-19,16130.38
2020-03-23,16018.113
2020-03-24,15918.429
2020-03-25,15844.443
2020-03-26,15785.592
2020-03-27,15747.306
2020-03-30,15719.891
2020-03-31,15702.014
2020-04-01,15683.322
2020-04-02,15661.971
2020-04-03,15637.233
2020-04-06,15616.902
2020-04-07,15604.485
2020-04-08,15601.8125
2020-04-09,15605.724
2020-04-10,15616.418
2020-04-13,15627.481
2020-04-14,15643.806
2020-04-15,15664.065
2020-04-16,15683.248
2020-04-17,15706.523
2020-04-20,15729.279
2020-04-21,15749.109
2020-04-22,15763.411
2020-04-23,15775.528
2020-04-24,15785.723
2020-04-27,15797.691
2020-04-28,15810.504
2020-04-30,15830.761
2020-05-01,15849.832
2020-05-07,15867.04
2020-05-08,15885.938
2020-05-11,15908.033
2020-05-12,15931.36
2020-05-13,15954.791
2020-05-14,15974.72
2020-05-15,15991.885
2020-05-18,16007.26
2020-05-19,16025.804
2020-05-20,16045.503
2020-05-21,16064.981
2020-05-22,16083.356
2020-05-25,16101.545
2020-05-26,16126.097
2020-05-27,16157.507
2020-05-28,16198.578
2020-05-29,16246.894
2020-06-01,16294.577
2020-06-02,16344.12
2020-06-03,16397.592
2020-06-04,16453.07
2020-06-05,16509.246
2020-06-08,16568.553
2020-06-09,16626.639
2020-06-10,16681.453
2020-06-11,16730.297
2020-06-12,16770.684
2020-06-15,16795.31
2020-06-16,16816.527
2020-06-17,16831.693
2020-06-18,16841.432
2020-06-19,16850.658
2020-06-22,16855.896
2020-06-23,16855.121
2020-06-24,16856.807
2020-06-25,16858.05
2020-06-26,16859.438
2020-06-29,16857.97
2020-06-30,16856.584
2020-07-01,16853.441
2020-07-02,16849.77
2020-07-03,16844.793
2020-07-06,16842.885
2020-07-07,16843.494
2020-07-08,16845.334
2020-07-09,16848.352
2020-07-10,16851.404
2020-07-13,16856.92
2020-07-14,16862.275
2020-07-15,16871.041
2020-07-16,16882.287
2020-07-17,16891.73
2020-07-20,16899.408
2020-07-21,16908.459
2020-07-22,16916.89
2020-07-27,16924.18
2020-07-28,16929.969
2020-07-29,16933.115
2020-07-30,16933.768
2020-07-31,16930.205
2020-08-03,16923.973
2020-08-04,16919.482
2020-08-05,16914.908
2020-08-06,16909.576
2020-08-07,16903.363
2020-08-11,16902.256
2020-08-12,16904.73
2020-08-13,16913.184
2020-08-14,16924.756
2020-08-17,16936.42
2020-08-18,16948.23
2020-08-19,16959.473
2020-08-20,16968.625
2020-08-21,16976.584
2020-08-24,16982.664
2020-08-25,16992.729
2020-08-26,17002.895
2020-08-27,17013.168
2020-08-28,17024.11
